epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,37.3425,1.88524,1.26859,1.21631,0.85207,0.32725,0.34777,0.14856,2.15899,1.2723,1.45404,0.00125992,0.00125992,0.00125992
76,37.8166,1.67581,1.12084,1.11952,0.85207,0.32725,0.34777,0.14856,2.15899,1.2723,1.45404,0.00125442,0.00125442,0.00125442
77,38.2884,1.84283,1.18058,1.14841,0.85207,0.32725,0.34777,0.14856,2.15899,1.2723,1.45404,0.00124892,0.00124892,0.00124892
78,38.777,1.8782,1.20816,1.206,0.8649,0.37142,0.3769,0.16041,2.06289,1.21544,1.43793,0.00124342,0.00124342,0.00124342
79,39.255,1.77482,1.30431,1.22233,0.8649,0.37142,0.3769,0.16041,2.06289,1.21544,1.43793,0.00123791,0.00123791,0.00123791
80,39.7496,1.65164,1.15821,1.10019,0.8649,0.37142,0.3769,0.16041,2.06289,1.21544,1.43793,0.00123241,0.00123241,0.00123241
81,40.2257,1.72712,1.08367,1.09701,0.8649,0.37142,0.3769,0.16041,2.06289,1.21544,1.43793,0.00122691,0.00122691,0.00122691
82,40.7347,1.7706,1.11989,1.10179,0.87547,0.33125,0.35981,0.15843,2.13192,1.25819,1.44801,0.00122141,0.00122141,0.00122141
83,41.2101,1.69954,1.11994,1.10343,0.87547,0.33125,0.35981,0.15843,2.13192,1.25819,1.44801,0.00121591,0.00121591,0.00121591
84,41.6923,1.70874,1.06522,1.11262,0.87547,0.33125,0.35981,0.15843,2.13192,1.25819,1.44801,0.00121041,0.00121041,0.00121041
85,42.1633,1.76585,1.20255,1.13273,0.87547,0.33125,0.35981,0.15843,2.13192,1.25819,1.44801,0.00120491,0.00120491,0.00120491
86,42.6545,1.81559,1.11579,1.11541,0.84305,0.32788,0.35641,0.13956,2.18505,1.27027,1.43541,0.00119941,0.00119941,0.00119941
87,43.12,1.65436,1.09107,1.09672,0.84305,0.32788,0.35641,0.13956,2.18505,1.27027,1.43541,0.00119391,0.00119391,0.00119391
88,43.6,1.69971,1.17858,1.10991,0.84305,0.32788,0.35641,0.13956,2.18505,1.27027,1.43541,0.0011884,0.0011884,0.0011884
89,44.0646,1.77237,1.15604,1.16604,0.84305,0.32788,0.35641,0.13956,2.18505,1.27027,1.43541,0.0011829,0.0011829,0.0011829
90,44.5591,1.72525,1.05367,1.1071,0.8312,0.3375,0.35526,0.15143,2.1864,1.153,1.42682,0.0011774,0.0011774,0.0011774
91,45.0275,1.6605,1.0584,1.10012,0.8312,0.3375,0.35526,0.15143,2.1864,1.153,1.42682,0.0011719,0.0011719,0.0011719
92,45.5099,1.71795,1.09149,1.09494,0.8312,0.3375,0.35526,0.15143,2.1864,1.153,1.42682,0.0011664,0.0011664,0.0011664
93,45.9745,1.7085,1.10563,1.13928,0.8312,0.3375,0.35526,0.15143,2.1864,1.153,1.42682,0.0011609,0.0011609,0.0011609
94,46.459,1.82859,1.08921,1.15118,0.85446,0.3875,0.39532,0.15101,2.19147,1.17809,1.41506,0.0011554,0.0011554,0.0011554
95,46.9307,1.6494,1.10999,1.06275,0.85446,0.3875,0.39532,0.15101,2.19147,1.17809,1.41506,0.0011499,0.0011499,0.0011499
96,47.4056,1.69479,1.14387,1.09554,0.85446,0.3875,0.39532,0.15101,2.19147,1.17809,1.41506,0.0011444,0.0011444,0.0011444
97,47.8829,1.72523,1.1107,1.11005,0.85446,0.3875,0.39532,0.15101,2.19147,1.17809,1.41506,0.00113889,0.00113889,0.00113889
98,48.3771,1.6634,1.03027,1.11535,0.83471,0.35,0.35455,0.14465,2.28358,1.185,1.47973,0.00113339,0.00113339,0.00113339
99,48.8464,1.74539,1.05353,1.1057,0.83471,0.35,0.35455,0.14465,2.28358,1.185,1.47973,0.00112789,0.00112789,0.00112789
100,49.3179,1.71702,1.05421,1.08214,0.83471,0.35,0.35455,0.14465,2.28358,1.185,1.47973,0.00112239,0.00112239,0.00112239
101,49.7876,1.65227,1.08604,1.13411,0.83471,0.35,0.35455,0.14465,2.28358,1.185,1.47973,0.00111689,0.00111689,0.00111689
